10.5,-3.5,0.76298,14948.65843
9,-7.5,0.761723,15003.43706
7,-6.5,0.761487,15037.59346
10,-8,0.760904,15053.74816
6.5,-5,0.762924,15066.96588
6.5,-5.5,0.762312,15068.59527
7.5,-7,0.760242,15095.51151
6.5,-6,0.760161,15179.76036
7,-4,0.761889,15209.18695
8.5,-7.5,0.758297,15231.69494
8,-7.5,0.75672,15294.76512
11,-3.5,0.757873,15310.07162
11,-8.5,0.756996,15312.0992
9.5,-8,0.756733,15318.47685
6.5,-4.5,0.759224,15408.00974
7,-7,0.755045,15459.15324
6.5,-6.5,0.754744,15525.20388
10.5,-8.5,0.753455,15537.81885
9,-3,0.753508,15542.96379
9.5,-3,0.753095,15546.76783
7.5,-3.5,0.756492,15548.8137
9,-8,0.753208,15558.71505
6,-5.5,0.754847,15651.26593
10,-3,0.750913,15666.84328
7.5,-7.5,0.750917,15679.35999
8.5,-3,0.751107,15754.22008
10,-8.5,0.749648,15783.40584
6,-6,0.752054,15789.18138
6,-5,0.753542,15812.88085
8.5,-8,0.748392,15868.7015
6.5,-7,0.748071,15923.29809
10.5,-3,0.746254,15940.83641
11,-9,0.745962,16020.93804
6,-6.5,0.747742,16032.10727
9.5,-8.5,0.74554,16044.83867
8,-8,0.743791,16095.18594
7,-7.5,0.743881,16144.60444
10.5,-9,0.742522,16237.90611
11,-3,0.741291,16241.8037
6.5,-4,0.749282,16272.52508
9,-8.5,0.741386,16315.0777
6,-4.5,0.748516,16347.45385
5.5,-5.5,0.74514,16415.7321
5.5,-6,0.743727,16437.01474
10,-9,0.73867,16479.10444
8,-3,0.742589,16499.97862
6,-7,0.739647,16512.54555
7.5,-8,0.737014,16525.03006
7,-3.5,0.7443,16617.80609
6.5,-7.5,0.736525,16633.17227
5.5,-6.5,0.739093,16673.13681
11,-9.5,0.735336,16686.01651
8.5,-8.5,0.735234,16703.32771
5.5,-5,0.742034,16780.25775
9.5,-9,0.733487,16802.99745
10.5,-9.5,0.731228,16941.23673
8,-8.5,0.728812,17011.47338
7,-8,0.729418,17019.25957
5.5,-7,0.731601,17107.76879
9,-9,0.728103,17141.58931
6,-7.5,0.728311,17195.28698
10,-9.5,0.726252,17253.81817
5,-6,0.733377,17260.09129
5,-6.5,0.730261,17362.88379
5,-5.5,0.733911,17384.87491
7.5,-8.5,0.722708,17400.1833
11,-10,0.723795,17403.02277
6.5,-8,0.722342,17491.7878
8.5,-9,0.722028,17523.66025
6,-4,0.735365,17573.75251
7.5,-3,0.730373,17581.09098
5.5,-4.5,0.734965,17594.35511
9.5,-9.5,0.720371,17620.77452
9,-2.5,0.726126,17651.49935
9.5,-2.5,0.724545,17676.64738
10.5,-10,0.718559,17731.84297
10,-2.5,0.721604,17804.14282
5,-7,0.721782,17841.50216
5.5,-7.5,0.719125,17842.41082
8,-9,0.714901,17871.85672
7,-8.5,0.714575,17924.29383
10.5,-2.5,0.718377,17969.35842
5,-5,0.728534,17991.80008
6.5,-3.5,0.729834,18007.59626
8.5,-2.5,0.722512,18021.2949
11,-2.5,0.716691,18054.70901
9,-9.5,0.713549,18055.39058
6,-8,0.713747,18082.41889
10,-10,0.711675,18161.48206
4.5,-6,0.721932,18262.28451
4.5,-6.5,0.718881,18303.24887
7.5,-9,0.706696,18396.45299
6.5,-8.5,0.70602,18504.55299
8.5,-9.5,0.706116,18515.26358
9.5,-10,0.704627,18604.62528
5,-7.5,0.708438,18626.77514
4.5,-5.5,0.720091,18661.66817
4.5,-7,0.709486,18768.64411
5.5,-8,0.703688,18787.49899
8,-9.5,0.697876,18938.4557
7,-9,0.69769,18984.47557
9,-10,0.696846,19092.24481
5.5,-4,0.722159,19095.75
7,-3,0.714305,19105.64333
5,-4.5,0.720625,19109.6087
6,-8.5,0.696337,19173.87394
8,-2.5,0.705278,19416.80686
7.5,-9.5,0.688903,19519.01975
4.5,-5,0.714083,19529.38585
4.5,-7.5,0.696502,19565.21966
4,-6.5,0.704326,19565.77483
6.5,-9,0.689002,19572.98611
5,-8,0.692777,19603.02471
8.5,-10,0.68822,19634.99517
6,-3.5,0.714057,19691.54399
4,-6,0.706491,19697.93412
5.5,-8.5,0.686485,19880.28882
4,-7,0.69601,19918.96794
7,-9.5,0.68051,20062.15504
8,-10,0.679841,20070.53806
